MARKET: Bitcoin Up or Down - December 12, 9:30AM-9:45AM ET
RESOLUTION: YES
TRADES: 707
TIME RANGE: 2025-12-12 09:30:20 to 2025-12-12 09:41:20
PRICE RANGE: 2.00 - 99.00

--- Position at resolution ---
Remaining YES shares: 4085.34
Remaining NO shares:  4043.87
Final value: $ 4085.34
Total spent (net exposure): $ 4032.10
FINAL PNL: $ 53.23

--- Buy/Sell totals ---
YES buys:  4085.34 sh / $ 2713.01
YES sells: 0.00 sh / $ 0.00
NO buys:   4043.87 sh / $ 1319.09
NO sells:  0.00 sh / $ 0.00

--- Cumulative buys ---
YES cumulative: 4085.34 sh / $ 2713.01
NO cumulative:  4043.87 sh / $ 1319.09

--- Exposure peaks (trade index: earliest → latest) ---
YES dollar peak: $ 2713.01 at trade #707
NO dollar peak:  $ 1319.09 at trade #703
YES share peak:  4085.34 sh at trade #707
NO share peak:   4043.87 sh at trade #703

--- Final exposure ---
YES exposure: $ 2713.01 | 4085.34 sh
NO exposure:  $ 1319.09 | 4043.87 sh
NET exposure: $ 4032.10 | 8129.20 sh

--- Trades (Sorted by Timestamp) ---
Idx | Time                | Type | Side | Price(c) |   Shares   |    Cost($)
 36 | 2025-12-12 09:30:30 | Buy  | Up   |    42.00 |       5.00 | $      2.10
 37 | 2025-12-12 09:30:30 | Buy  | Up   |    38.00 |       3.05 | $      1.16
 38 | 2025-12-12 09:30:30 | Buy  | Up   |    39.00 |       1.93 | $      0.75
 39 | 2025-12-12 09:30:30 | Buy  | Up   |    38.00 |       2.95 | $      1.12
 40 | 2025-12-12 09:30:30 | Buy  | Up   |    36.00 |      20.00 | $      7.20
 41 | 2025-12-12 09:30:30 | Buy  | Up   |    38.00 |       6.00 | $      2.28
 42 | 2025-12-12 09:30:30 | Buy  | Up   |    36.00 |      20.00 | $      7.20
 43 | 2025-12-12 09:30:32 | Buy  | Down |    62.00 |      20.00 | $     12.40
 44 | 2025-12-12 09:30:32 | Buy  | Down |    62.00 |      10.63 | $      6.59
 45 | 2025-12-12 09:30:32 | Buy  | Up   |    39.00 |       5.10 | $      1.99
 46 | 2025-12-12 09:30:32 | Buy  | Up   |    38.00 |       6.00 | $      2.28
 47 | 2025-12-12 09:30:32 | Buy  | Up   |    40.00 |      16.78 | $      6.71
 48 | 2025-12-12 09:30:32 | Buy  | Down |    62.00 |      16.42 | $     10.18
 49 | 2025-12-12 09:30:32 | Buy  | Up   |    37.00 |      15.00 | $      5.55
 50 | 2025-12-12 09:30:32 | Buy  | Up   |    38.47 |      20.00 | $      7.69
 51 | 2025-12-12 09:30:34 | Buy  | Up   |    39.72 |      20.00 | $      7.94
 52 | 2025-12-12 09:30:34 | Buy  | Up   |    41.00 |       7.00 | $      2.87
 53 | 2025-12-12 09:30:34 | Buy  | Down |    57.00 |      15.00 | $      8.55
 54 | 2025-12-12 09:30:34 | Buy  | Down |    57.00 |      20.00 | $     11.40
 55 | 2025-12-12 09:30:34 | Buy  | Down |    57.00 |       5.00 | $      2.85
 56 | 2025-12-12 09:30:36 | Buy  | Down |    57.00 |       9.00 | $      5.13
 57 | 2025-12-12 09:30:36 | Buy  | Up   |    39.00 |       5.05 | $      1.97
 58 | 2025-12-12 09:30:36 | Buy  | Up   |    42.00 |      20.00 | $      8.40
 59 | 2025-12-12 09:30:38 | Buy  | Down |    59.00 |      20.00 | $     11.80
 60 | 2025-12-12 09:30:38 | Buy  | Down |    58.00 |      18.07 | $     10.48
 61 | 2025-12-12 09:30:40 | Buy  | Down |    57.00 |       5.00 | $      2.85
 62 | 2025-12-12 09:30:42 | Buy  | Down |    65.00 |      20.00 | $     13.00
 63 | 2025-12-12 09:30:42 | Buy  | Down |    65.00 |      17.12 | $     11.13
 64 | 2025-12-12 09:30:42 | Buy  | Down |    59.00 |       4.46 | $      2.63
 65 | 2025-12-12 09:30:42 | Buy  | Up   |    35.00 |       5.00 | $      1.75
 66 | 2025-12-12 09:30:42 | Buy  | Down |    66.00 |      20.00 | $     13.20
 67 | 2025-12-12 09:30:42 | Buy  | Down |    65.00 |      20.00 | $     13.00
 68 | 2025-12-12 09:30:42 | Buy  | Down |    65.00 |      20.00 | $     13.00
 69 | 2025-12-12 09:30:42 | Buy  | Down |    65.00 |      20.00 | $     13.00
 70 | 2025-12-12 09:30:44 | Buy  | Up   |    35.00 |       0.15 | $      0.05
 71 | 2025-12-12 09:30:44 | Buy  | Up   |    40.00 |      20.00 | $      8.00
 72 | 2025-12-12 09:30:44 | Buy  | Up   |    37.00 |      10.00 | $      3.70
 73 | 2025-12-12 09:30:46 | Buy  | Up   |    39.00 |      20.00 | $      7.80
 74 | 2025-12-12 09:30:46 | Buy  | Down |    61.00 |       5.00 | $      3.05
 75 | 2025-12-12 09:30:46 | Buy  | Up   |    40.00 |      19.30 | $      7.72
 76 | 2025-12-12 09:30:46 | Buy  | Down |    61.00 |       5.00 | $      3.05
 77 | 2025-12-12 09:30:46 | Buy  | Up   |    39.00 |      20.00 | $      7.80
 78 | 2025-12-12 09:30:46 | Buy  | Up   |    39.00 |      20.00 | $      7.80
 79 | 2025-12-12 09:30:48 | Buy  | Down |    62.00 |      20.00 | $     12.40
 80 | 2025-12-12 09:30:48 | Buy  | Down |    62.00 |       6.58 | $      4.08
 81 | 2025-12-12 09:30:48 | Buy  | Up   |    38.00 |       0.90 | $      0.34
 82 | 2025-12-12 09:30:48 | Buy  | Down |    62.00 |       5.05 | $      3.13
 83 | 2025-12-12 09:30:48 | Buy  | Down |    62.00 |       5.00 | $      3.10
 84 | 2025-12-12 09:30:48 | Buy  | Down |    61.00 |      10.00 | $      6.10
 85 | 2025-12-12 09:30:48 | Buy  | Down |    61.00 |       5.05 | $      3.08
 86 | 2025-12-12 09:30:50 | Buy  | Up   |    37.00 |       6.19 | $      2.29
 87 | 2025-12-12 09:30:50 | Buy  | Up   |    37.00 |       7.12 | $      2.63
 88 | 2025-12-12 09:30:50 | Buy  | Down |    62.00 |       3.37 | $      2.09
 89 | 2025-12-12 09:30:50 | Buy  | Down |    62.00 |      20.00 | $     12.40
 90 | 2025-12-12 09:30:50 | Buy  | Down |    61.00 |       2.17 | $      1.33
 91 | 2025-12-12 09:30:52 | Buy  | Down |    65.00 |      20.00 | $     13.00
 92 | 2025-12-12 09:30:52 | Buy  | Down |    61.00 |       5.00 | $      3.05
 93 | 2025-12-12 09:30:54 | Buy  | Down |    67.00 |      20.00 | $     13.40
 94 | 2025-12-12 09:30:56 | Buy  | Up   |    31.00 |      20.00 | $      6.20
 95 | 2025-12-12 09:30:58 | Buy  | Down |    69.00 |       5.00 | $      3.45
 96 | 2025-12-12 09:31:00 | Buy  | Down |    69.00 |       5.00 | $      3.45
 97 | 2025-12-12 09:31:00 | Buy  | Up   |    27.00 |      20.00 | $      5.40
 98 | 2025-12-12 09:31:02 | Buy  | Up   |    30.00 |       8.00 | $      2.40
 99 | 2025-12-12 09:31:02 | Buy  | Up   |    27.00 |      20.00 | $      5.40
100 | 2025-12-12 09:31:02 | Buy  | Up   |    29.00 |       5.40 | $      1.57
101 | 2025-12-12 09:31:02 | Buy  | Up   |    29.00 |       5.00 | $      1.45
102 | 2025-12-12 09:31:02 | Buy  | Up   |    30.00 |      20.00 | $      6.00
103 | 2025-12-12 09:31:02 | Buy  | Up   |    27.00 |      20.00 | $      5.40
104 | 2025-12-12 09:31:04 | Buy  | Down |    70.00 |       5.00 | $      3.50
105 | 2025-12-12 09:31:04 | Buy  | Up   |    29.00 |      11.00 | $      3.19
106 | 2025-12-12 09:31:04 | Buy  | Up   |    29.00 |      20.00 | $      5.80
107 | 2025-12-12 09:31:04 | Buy  | Down |    71.00 |      20.00 | $     14.20
108 | 2025-12-12 09:31:04 | Buy  | Up   |    29.00 |       9.00 | $      2.61
109 | 2025-12-12 09:31:06 | Buy  | Down |    72.00 |      20.00 | $     14.40
110 | 2025-12-12 09:31:06 | Buy  | Down |    72.00 |       6.43 | $      4.63
111 | 2025-12-12 09:31:06 | Buy  | Down |    72.00 |       5.47 | $      3.94
112 | 2025-12-12 09:31:06 | Buy  | Down |    72.00 |       4.53 | $      3.26
113 | 2025-12-12 09:31:06 | Buy  | Down |    72.00 |       8.00 | $      5.76
114 | 2025-12-12 09:31:06 | Buy  | Down |    72.00 |      20.00 | $     14.40
115 | 2025-12-12 09:31:08 | Buy  | Up   |    25.00 |      10.00 | $      2.50
116 | 2025-12-12 09:31:08 | Buy  | Up   |    25.00 |      20.00 | $      5.00
117 | 2025-12-12 09:31:08 | Buy  | Down |    72.00 |       0.10 | $      0.07
118 | 2025-12-12 09:31:10 | Buy  | Up   |    27.00 |      20.00 | $      5.40
119 | 2025-12-12 09:31:10 | Buy  | Up   |    27.00 |      20.00 | $      5.40
120 | 2025-12-12 09:31:10 | Buy  | Up   |    34.00 |      20.00 | $      6.80
121 | 2025-12-12 09:31:10 | Buy  | Up   |    27.00 |      20.00 | $      5.40
122 | 2025-12-12 09:31:10 | Buy  | Up   |    27.00 |      20.00 | $      5.40
123 | 2025-12-12 09:31:12 | Buy  | Down |    64.00 |       2.00 | $      1.28
124 | 2025-12-12 09:31:12 | Buy  | Down |    66.00 |       5.00 | $      3.30
125 | 2025-12-12 09:31:14 | Buy  | Down |    68.00 |      20.00 | $     13.60
126 | 2025-12-12 09:31:14 | Buy  | Down |    67.00 |      10.00 | $      6.70
127 | 2025-12-12 09:31:16 | Buy  | Down |    70.00 |       5.05 | $      3.53
128 | 2025-12-12 09:31:18 | Buy  | Up   |    32.00 |      14.71 | $      4.71
129 | 2025-12-12 09:31:18 | Buy  | Up   |    30.00 |       7.14 | $      2.14
130 | 2025-12-12 09:31:18 | Buy  | Up   |    31.00 |       5.00 | $      1.55
131 | 2025-12-12 09:31:20 | Buy  | Up   |    36.50 |      20.00 | $      7.30
132 | 2025-12-12 09:31:22 | Buy  | Up   |    38.50 |      20.00 | $      7.70
133 | 2025-12-12 09:31:22 | Buy  | Down |    61.00 |      20.00 | $     12.20
134 | 2025-12-12 09:31:22 | Buy  | Up   |    40.00 |       3.36 | $      1.34
135 | 2025-12-12 09:31:22 | Buy  | Up   |    39.00 |      20.00 | $      7.80
136 | 2025-12-12 09:31:22 | Buy  | Down |    61.00 |      15.00 | $      9.15
137 | 2025-12-12 09:31:22 | Buy  | Up   |    38.00 |      20.00 | $      7.60
138 | 2025-12-12 09:31:22 | Buy  | Up   |    40.00 |      11.59 | $      4.63
139 | 2025-12-12 09:31:22 | Buy  | Up   |    40.00 |       5.05 | $      2.02
140 | 2025-12-12 09:31:22 | Buy  | Down |    61.00 |       4.73 | $      2.89
141 | 2025-12-12 09:31:24 | Buy  | Down |    59.00 |      15.00 | $      8.85
142 | 2025-12-12 09:31:24 | Buy  | Down |    59.00 |       5.00 | $      2.95
143 | 2025-12-12 09:31:24 | Buy  | Down |    61.00 |      20.00 | $     12.20
144 | 2025-12-12 09:31:26 | Buy  | Up   |    49.00 |      14.50 | $      7.10
