MARKET: Bitcoin Up or Down - December 12, 9:15AM-9:30AM ET
RESOLUTION: NO
TRADES: 955
TIME RANGE: 2025-12-12 09:15:30 to 2025-12-12 09:29:14
PRICE RANGE: 1.00 - 95.00

--- Position at resolution ---
Remaining YES shares: 5393.64
Remaining NO shares:  5374.96
Final value: $ 5374.96
Total spent (net exposure): $ 5250.82
FINAL PNL: $ 124.14

--- Buy/Sell totals ---
YES buys:  5393.64 sh / $ 2605.44
YES sells: 0.00 sh / $ 0.00
NO buys:   5374.96 sh / $ 2645.37
NO sells:  0.00 sh / $ 0.00

--- Cumulative buys ---
YES cumulative: 5393.64 sh / $ 2605.44
NO cumulative:  5374.96 sh / $ 2645.37

--- Exposure peaks (trade index: earliest → latest) ---
YES dollar peak: $ 2605.44 at trade #953
NO dollar peak:  $ 2645.37 at trade #955
YES share peak:  5393.64 sh at trade #953
NO share peak:   5374.96 sh at trade #955

--- Final exposure ---
YES exposure: $ 2605.44 | 5393.64 sh
NO exposure:  $ 2645.37 | 5374.96 sh
NET exposure: $ 5250.82 | 10768.60 sh

--- Trades (Sorted by Timestamp) ---
Idx | Time                | Type | Side | Price(c) |   Shares   |    Cost($)
 71 | 2025-12-12 09:16:18 | Buy  | Down |    62.00 |       2.89 | $      1.79
 72 | 2025-12-12 09:16:18 | Buy  | Up   |    37.00 |      20.00 | $      7.40
 73 | 2025-12-12 09:16:18 | Buy  | Down |    62.00 |       3.63 | $      2.25
 74 | 2025-12-12 09:16:18 | Buy  | Down |    62.00 |       2.89 | $      1.79
 75 | 2025-12-12 09:16:22 | Buy  | Down |    61.00 |      20.00 | $     12.20
 76 | 2025-12-12 09:16:22 | Buy  | Down |    61.00 |      20.00 | $     12.20
 77 | 2025-12-12 09:16:22 | Buy  | Down |    61.00 |      20.00 | $     12.20
 78 | 2025-12-12 09:16:22 | Buy  | Down |    61.00 |      20.00 | $     12.20
 79 | 2025-12-12 09:16:22 | Buy  | Down |    61.00 |      20.00 | $     12.20
 80 | 2025-12-12 09:16:22 | Buy  | Down |    61.00 |      20.00 | $     12.20
 81 | 2025-12-12 09:16:22 | Buy  | Down |    61.00 |      20.00 | $     12.20
 82 | 2025-12-12 09:16:24 | Buy  | Up   |    38.00 |       9.32 | $      3.54
 83 | 2025-12-12 09:16:24 | Buy  | Up   |    38.00 |       5.00 | $      1.90
 84 | 2025-12-12 09:16:26 | Buy  | Down |    61.00 |       5.13 | $      3.13
 85 | 2025-12-12 09:16:28 | Buy  | Up   |    40.00 |       6.00 | $      2.40
 86 | 2025-12-12 09:16:28 | Buy  | Up   |    41.00 |       7.69 | $      3.15
 87 | 2025-12-12 09:16:28 | Buy  | Up   |    41.00 |       3.01 | $      1.23
 88 | 2025-12-12 09:16:28 | Buy  | Up   |    41.00 |      12.31 | $      5.05
 89 | 2025-12-12 09:16:30 | Buy  | Up   |    40.00 |      20.00 | $      8.00
 90 | 2025-12-12 09:16:30 | Buy  | Down |    59.00 |      10.00 | $      5.90
 91 | 2025-12-12 09:16:30 | Buy  | Up   |    40.00 |      20.00 | $      8.00
 92 | 2025-12-12 09:16:30 | Buy  | Down |    59.00 |      10.00 | $      5.90
 93 | 2025-12-12 09:16:30 | Buy  | Up   |    40.00 |      20.00 | $      8.00
 94 | 2025-12-12 09:16:30 | Buy  | Up   |    40.00 |      13.92 | $      5.57
 95 | 2025-12-12 09:16:34 | Buy  | Up   |    43.00 |      20.00 | $      8.60
 96 | 2025-12-12 09:16:36 | Buy  | Down |    55.00 |      20.00 | $     11.00
 97 | 2025-12-12 09:16:36 | Buy  | Up   |    43.00 |      20.00 | $      8.60
 98 | 2025-12-12 09:16:36 | Buy  | Up   |    43.00 |       3.31 | $      1.42
 99 | 2025-12-12 09:16:36 | Buy  | Down |    55.00 |      20.00 | $     11.00
100 | 2025-12-12 09:16:36 | Buy  | Up   |    43.00 |      16.69 | $      7.18
101 | 2025-12-12 09:16:36 | Buy  | Down |    55.00 |      20.00 | $     11.00
102 | 2025-12-12 09:16:40 | Buy  | Down |    56.00 |      13.26 | $      7.43
103 | 2025-12-12 09:16:40 | Buy  | Down |    56.00 |       6.74 | $      3.77
104 | 2025-12-12 09:16:40 | Buy  | Down |    56.00 |      13.26 | $      7.43
105 | 2025-12-12 09:16:42 | Buy  | Up   |    43.00 |       5.00 | $      2.15
106 | 2025-12-12 09:16:42 | Buy  | Up   |    43.00 |      14.04 | $      6.04
107 | 2025-12-12 09:16:42 | Buy  | Up   |    43.00 |      15.00 | $      6.45
108 | 2025-12-12 09:16:42 | Buy  | Up   |    43.00 |       5.00 | $      2.15
109 | 2025-12-12 09:16:44 | Buy  | Up   |    43.00 |       0.96 | $      0.41
110 | 2025-12-12 09:16:50 | Buy  | Up   |    44.00 |       9.83 | $      4.32
111 | 2025-12-12 09:16:58 | Buy  | Down |    55.00 |      20.00 | $     11.00
112 | 2025-12-12 09:16:58 | Buy  | Down |    55.00 |       9.61 | $      5.29
113 | 2025-12-12 09:16:58 | Buy  | Down |    55.00 |      20.00 | $     11.00
114 | 2025-12-12 09:16:58 | Buy  | Down |    55.00 |       3.55 | $      1.95
115 | 2025-12-12 09:17:02 | Buy  | Up   |    45.00 |       5.60 | $      2.52
116 | 2025-12-12 09:17:04 | Buy  | Down |    53.00 |       6.38 | $      3.38
117 | 2025-12-12 09:17:06 | Buy  | Down |    53.00 |       5.00 | $      2.65
118 | 2025-12-12 09:17:06 | Buy  | Down |    53.00 |       8.61 | $      4.56
119 | 2025-12-12 09:17:08 | Buy  | Up   |    46.00 |       4.89 | $      2.25
120 | 2025-12-12 09:17:08 | Buy  | Up   |    45.00 |      20.00 | $      9.00
121 | 2025-12-12 09:17:08 | Buy  | Down |    53.00 |       6.38 | $      3.38
122 | 2025-12-12 09:17:08 | Buy  | Up   |    46.00 |       4.87 | $      2.24
123 | 2025-12-12 09:17:08 | Buy  | Up   |    45.00 |      20.00 | $      9.00
124 | 2025-12-12 09:17:08 | Buy  | Up   |    46.00 |       5.12 | $      2.36
125 | 2025-12-12 09:17:08 | Buy  | Up   |    46.00 |       5.12 | $      2.36
126 | 2025-12-12 09:17:10 | Buy  | Down |    53.00 |       2.39 | $      1.27
127 | 2025-12-12 09:17:10 | Buy  | Down |    53.00 |       5.00 | $      2.65
128 | 2025-12-12 09:17:10 | Buy  | Down |    53.00 |       5.00 | $      2.65
129 | 2025-12-12 09:17:10 | Buy  | Down |    53.00 |       3.61 | $      1.91
130 | 2025-12-12 09:17:10 | Buy  | Up   |    45.00 |       2.89 | $      1.30
131 | 2025-12-12 09:17:12 | Buy  | Up   |    47.00 |       9.00 | $      4.23
132 | 2025-12-12 09:17:12 | Buy  | Up   |    47.00 |       5.26 | $      2.47
133 | 2025-12-12 09:17:16 | Buy  | Down |    52.00 |       6.25 | $      3.25
134 | 2025-12-12 09:17:16 | Buy  | Down |    52.00 |       2.08 | $      1.08
135 | 2025-12-12 09:17:16 | Buy  | Down |    52.00 |      20.00 | $     10.40
136 | 2025-12-12 09:17:18 | Buy  | Down |    54.00 |      20.00 | $     10.80
137 | 2025-12-12 09:17:18 | Buy  | Down |    54.00 |      20.00 | $     10.80
138 | 2025-12-12 09:17:18 | Buy  | Down |    54.00 |      20.00 | $     10.80
139 | 2025-12-12 09:17:18 | Buy  | Down |    54.00 |      20.00 | $     10.80
140 | 2025-12-12 09:17:18 | Buy  | Down |    54.00 |      20.00 | $     10.80
141 | 2025-12-12 09:17:22 | Buy  | Up   |    45.00 |       4.25 | $      1.91
142 | 2025-12-12 09:17:22 | Buy  | Up   |    45.00 |       2.25 | $      1.01
143 | 2025-12-12 09:17:22 | Buy  | Up   |    45.00 |       8.00 | $      3.60
144 | 2025-12-12 09:17:22 | Buy  | Up   |    45.00 |       7.75 | $      3.49
145 | 2025-12-12 09:17:22 | Buy  | Up   |    45.00 |      17.75 | $      7.99
146 | 2025-12-12 09:17:22 | Buy  | Up   |    45.00 |       5.00 | $      2.25
147 | 2025-12-12 09:17:22 | Buy  | Up   |    45.00 |      20.00 | $      9.00
148 | 2025-12-12 09:17:24 | Buy  | Up   |    45.00 |      15.00 | $      6.75
149 | 2025-12-12 09:17:24 | Buy  | Up   |    45.00 |      20.00 | $      9.00
150 | 2025-12-12 09:17:24 | Buy  | Up   |    45.00 |       1.86 | $      0.84
151 | 2025-12-12 09:17:24 | Buy  | Up   |    45.00 |       3.00 | $      1.35
152 | 2025-12-12 09:17:24 | Buy  | Up   |    45.00 |       0.14 | $      0.06
153 | 2025-12-12 09:17:24 | Buy  | Up   |    45.00 |      15.00 | $      6.75
154 | 2025-12-12 09:17:24 | Buy  | Down |    53.00 |       5.00 | $      2.65
155 | 2025-12-12 09:17:26 | Buy  | Down |    53.00 |      20.00 | $     10.60
156 | 2025-12-12 09:17:26 | Buy  | Down |    53.00 |      20.00 | $     10.60
157 | 2025-12-12 09:17:26 | Buy  | Down |    53.00 |      15.00 | $      7.95
158 | 2025-12-12 09:17:30 | Buy  | Down |    53.00 |       6.38 | $      3.38
159 | 2025-12-12 09:17:32 | Buy  | Up   |    45.00 |       5.00 | $      2.25
160 | 2025-12-12 09:17:32 | Buy  | Up   |    45.00 |       6.00 | $      2.70
161 | 2025-12-12 09:17:32 | Buy  | Up   |    45.00 |      15.00 | $      6.75
162 | 2025-12-12 09:17:32 | Buy  | Up   |    45.00 |       5.00 | $      2.25
163 | 2025-12-12 09:17:34 | Buy  | Up   |    45.00 |       6.00 | $      2.70
164 | 2025-12-12 09:17:34 | Buy  | Up   |    45.00 |       6.00 | $      2.70
165 | 2025-12-12 09:17:36 | Buy  | Up   |    45.00 |       1.42 | $      0.64
166 | 2025-12-12 09:17:38 | Buy  | Down |    52.00 |       5.20 | $      2.70
167 | 2025-12-12 09:17:38 | Buy  | Up   |    46.00 |      19.80 | $      9.11
168 | 2025-12-12 09:17:38 | Buy  | Up   |    47.00 |      20.00 | $      9.40
169 | 2025-12-12 09:17:38 | Buy  | Down |    52.00 |       5.20 | $      2.70
170 | 2025-12-12 09:17:38 | Buy  | Up   |    46.00 |       6.44 | $      2.96
171 | 2025-12-12 09:17:38 | Buy  | Down |    52.00 |       6.00 | $      3.12
172 | 2025-12-12 09:17:38 | Buy  | Up   |    47.00 |      20.00 | $      9.40
173 | 2025-12-12 09:17:38 | Buy  | Down |    52.00 |       3.60 | $      1.87
174 | 2025-12-12 09:17:40 | Buy  | Down |    52.00 |       5.00 | $      2.60
175 | 2025-12-12 09:17:40 | Buy  | Down |    52.00 |       6.25 | $      3.25
176 | 2025-12-12 09:17:40 | Buy  | Down |    52.00 |       1.51 | $      0.79
177 | 2025-12-12 09:17:42 | Buy  | Down |    52.00 |       6.25 | $      3.25
178 | 2025-12-12 09:17:42 | Buy  | Up   |    46.00 |       1.33 | $      0.61
179 | 2025-12-12 09:17:42 | Buy  | Down |    52.00 |       0.99 | $      0.51
180 | 2025-12-12 09:17:44 | Buy  | Up   |    46.00 |       9.26 | $      4.26
181 | 2025-12-12 09:17:46 | Buy  | Down |    53.00 |       7.30 | $      3.87
182 | 2025-12-12 09:17:50 | Buy  | Down |    52.00 |      20.00 | $     10.40
183 | 2025-12-12 09:17:50 | Buy  | Down |    52.00 |      20.00 | $     10.40
184 | 2025-12-12 09:17:50 | Buy  | Down |    52.00 |      20.00 | $     10.40
185 | 2025-12-12 09:17:50 | Buy  | Down |    52.00 |      20.00 | $     10.40
186 | 2025-12-12 09:17:50 | Buy  | Up   |    47.00 |       1.83 | $      0.86
187 | 2025-12-12 09:17:58 | Buy  | Down |    52.00 |       6.38 | $      3.31
188 | 2025-12-12 09:18:00 | Buy  | Down |    52.00 |      15.94 | $      8.29
189 | 2025-12-12 09:18:02 | Buy  | Down |    52.00 |       1.76 | $      0.92
190 | 2025-12-12 09:18:02 | Buy  | Down |    52.00 |       2.29 | $      1.19
191 | 2025-12-12 09:18:04 | Buy  | Up   |    46.00 |       3.67 | $      1.69
192 | 2025-12-12 09:18:04 | Buy  | Up   |    46.00 |       5.00 | $      2.30
193 | 2025-12-12 09:18:04 | Buy  | Up   |    46.00 |       1.33 | $      0.61
194 | 2025-12-12 09:18:04 | Buy  | Up   |    46.00 |       3.67 | $      1.69
195 | 2025-12-12 09:18:04 | Buy  | Up   |    46.00 |       3.00 | $      1.38
196 | 2025-12-12 09:18:04 | Buy  | Up   |    46.00 |      20.00 | $      9.20
197 | 2025-12-12 09:18:06 | Buy  | Up   |    46.00 |      15.00 | $      6.90
